YearDisplay,RegionCode,RegionDisplay,beer_servings,spirit_servings,wine_servings,CountryCode,CountryDisplay,SexDisplay,DisplayValue,litres_of_pure_alcohol
1990,SEAR,South_East Asia,57,65,1,MMR,Myanmar,Both sexes,59,2.2
2000,AMR,Americas,147,1,4,BRB,Barbados,Both sexes,65,5.8
2013,EMR,Eastern Mediterranean,240,122,100,KWT,Kuwait,Both sexes,68,8.2
2012,AMR,Americas,17,2,1,GRD,Grenada,Male,16,1.8
2000,AMR,Americas,15,1,1,SUR,Suriname,Male,20,0.4
2013,EUR,Europe,130,124,172,POL,Poland,Male,19,7.6
2000,AFR,Africa,79,192,8,NER,Niger,Both sexes,50,5
2012,WPR,Western Pacific,159,76,3,MNG,Mongolia,Female,18,4.2
2012,EUR,Europe,1,3,1,ARM,Armenia,Female,66,0.1
2013,AFR,Africa,76,1,9,STP,Sao Tome and Principe,Male,56,1.7
2012,AFR,Africa,0,254,74,GIN,Guinea,Both sexes,16,5.9
2013,AMR,Americas,149,87,11,PAN,Panama,Both sexes,77,4.4
2012,WPR,Western Pacific,230,87,254,KOR,Republic of Korea,Both sexes,72,10.2
1990,EUR,Europe,93,137,5,CZE,Czech Republic,Female,19,4.2
2000,WPR,Western Pacific,192,154,113,SLB,Solomon Islands,Both sexes,65,8.2
2000,EUR,Europe,361,170,134,ISL,Iceland,Female,82,11.8
1990,AFR,Africa,0,0,0,KEN,Kenya,Female,62,0
2013,SEAR,South_East Asia,32,3,1,IND,India,Male,65,2.3
2013,AMR,Americas,224,81,278,GTM,Guatemala,Both sexes,62,10.4
2012,EUR,Europe,15,44,3,BLR,Belarus,Both sexes,63,1.1
2012,WPR,Western Pacific,52,286,26,VUT,Vanuatu,Male,70,6.6
2012,AMR,Americas,193,147,9,CHL,Chile,Male,77,6.2
2000,WPR,Western Pacific,162,74,3,MYS,Malaysia,Male,69,4.2
2013,AMR,Americas,6,4,1,ATG,Antigua and Barbuda,Male,21,0.2
2013,EUR,Europe,52,69,2,NLD,Netherlands,Female,25,2.2
2013,AFR,Africa,92,0,233,UGA,Uganda,Female,52,5.8
2012,WPR,Western Pacific,18,0,0,FJI,Fiji,Male,15,0.5
2012,EMR,Eastern Mediterranean,224,194,59,DJI,Djibouti,Male,52,9.5
2012,AFR,Africa,20,3,0,BEN,Benin,Both sexes,59,0.7
2000,EMR,Eastern Mediterranean,77,35,1,EGY,Egypt,Both sexes,17,2
1990,AMR,Americas,263,133,97,VCT,Saint Vincent and the Grenadines,Both sexes,19,10
1990,AFR,Africa,127,151,370,SEN,Senegal,Female,16,11.8
2012,EUR,Europe,347,98,59,LTU,Lithuania,Female,23,8.9
2000,EMR,Eastern Mediterranean,8,0,1,YEM,Yemen,Male,51,2.4
2012,AMR,Americas,52,100,149,GUY,Guyana,Both sexes,15,5.4
1990,AMR,Americas,346,117,175,ATG,Antigua and Barbuda,Female,18,11.3
2000,WPR,Western Pacific,31,3,10,WSM,Samoa,Male,67,1.8
2012,AMR,Americas,133,112,218,URY,Uruguay,Male,73,8.3
1990,EUR,Europe,199,438,28,UKR,Ukraine,Both sexes,70,11.9
2012,WPR,Western Pacific,53,69,2,CHN,China,Female,77,2.2
2013,EUR,Europe,9,0,2,FRA,France,Male,23,0.2
2000,AFR,Africa,28,31,21,COM,Comoros,Both sexes,15,2.5
2000,AMR,Americas,93,302,1,PRY,Paraguay,Male,71,7.1
2000,SEAR,South_East Asia,1,326,1,MDV,Maldives,Male,59,5.9
1990,WPR,Western Pacific,69,98,2,PHL,Philippines,Both sexes,66,3
2013,AFR,Africa,234,215,185,GHA,Ghana,Both sexes,63,11.3
1990,AFR,Africa,233,61,78,SWZ,Swaziland,Male,16,6.6
2000,WPR,Western Pacific,9,114,0,SLB,Solomon Islands,Female,17,2.2
2013,AFR,Africa,5,1,0,GNQ,Equatorial Guinea,Female,17,0.1
2000,EUR,Europe,0,0,0,SWE,Sweden,Both sexes,80,0
1990,AFR,Africa,9,3,0,GIN,Guinea,Male,46,0.2
2000,AMR,Americas,313,118,165,KNA,Saint Kitts and Nevis,Male,17,11.4
2012,WPR,Western Pacific,63,69,9,NRU,Nauru,Both sexes,79,2.5
1990,AFR,Africa,85,42,237,TZA,United Republic of Tanzania,Both sexes,51,6.5
2013,EUR,Europe,82,97,9,TJK,Tajikistan,Both sexes,60,3.4
2000,AMR,Americas,77,202,16,DOM,Dominican Republic,Female,64,7
2000,AFR,Africa,6,21,1,GHA,Ghana,Male,57,0.5
2012,EMR,Eastern Mediterranean,124,246,12,SDN,Sudan,Both sexes,17,6.8
2013,AFR,Africa,58,22,2,ZMB,Zambia,Female,18,1.8
2000,EUR,Europe,21,34,1,AZE,Azerbaijan,Male,64,1
2013,EUR,Europe,0,0,0,BGR,Bulgaria,Male,17,0
2013,AMR,Americas,31,97,6,COL,Colombia,Male,65,2.4
2013,EUR,Europe,62,0,123,MKD,The former Yugoslav republic of Macedonia,Male,64,6.2
2000,AFR,Africa,281,216,62,RWA,Rwanda,Both sexes,15,10.5
2013,AFR,Africa,20,55,31,MUS,Mauritius,Female,68,1.9
2012,AMR,Americas,82,29,0,PAN,Panama,Male,65,2.8
2000,AFR,Africa,19,152,2,DZA,Algeria,Both sexes,60,3.1
2000,EUR,Europe,0,0,0,TUR,Turkey,Female,21,0
2013,WPR,Western Pacific,343,244,56,COK,Cook Islands,Female,78,12.9
2000,AMR,Americas,236,133,271,GTM,Guatemala,Male,64,11.4
2000,EUR,Europe,26,15,4,DEU,Germany,Male,67,0.8
2000,SEAR,South_East Asia,8,11,1,LKA,Sri Lanka,Both sexes,70,1.5
2013,EUR,Europe,13,4,0,RUS,Russian Federation,Male,14,0.3
1990,AMR,Americas,0,0,0,DMA,Dominica,Female,21,0
2012,EUR,Europe,5,1,1,DEU,Germany,Male,78,0.6
2012,EUR,Europe,149,100,120,HRV,Croatia,Male,74,6.6
1990,EMR,Eastern Mediterranean,0,0,0,SSD,South Sudan,Male,41,0
2000,WPR,Western Pacific,0,0,0,PLW,Palau,Male,16,0
1990,WPR,Western Pacific,98,31,18,FSM,Micronesia (Federated States of),Female,17,2.6
2012,AMR,Americas,238,68,5,HTI,Haiti,Female,53,5.5
2012,EUR,Europe,62,50,18,SVK,Slovakia,Female,70,2.3
2012,AMR,Americas,0,0,0,KNA,Saint Kitts and Nevis,Male,71,0
1990,WPR,Western Pacific,77,189,8,BRN,Brunei Darussalam,Both sexes,18,4.9
2000,AFR,Africa,31,114,128,COG,Congo,Female,53,4.9
2013,WPR,Western Pacific,12,6,10,MYS,Malaysia,Female,66,0.5
1990,EUR,Europe,47,18,5,BLR,Belarus,Male,16,1.3
2000,EUR,Europe,5,1,0,AUT,Austria,Both sexes,78,0.1
1990,AFR,Africa,376,3,1,DZA,Algeria,Both sexes,17,6.8
1990,AMR,Americas,49,0,8,LCA,Saint Lucia,Both sexes,20,1
2013,EUR,Europe,5,6,0,GBR,United Kingdom of Great Britain and Northern Ireland,Female,83,0.2
2000,AMR,Americas,251,88,190,COL,Colombia,Male,69,9.4
2012,AFR,Africa,203,79,175,ZWE,Zimbabwe,Male,47,9.3
2000,EUR,Europe,78,118,1,FRA,France,Both sexes,23,3.5
2013,AFR,Africa,3,2,1,STP,Sao Tome and Principe,Both sexes,18,0.1
2013,EUR,Europe,42,5,2,SMR,San Marino,Female,26,9.1
2013,AMR,Americas,188,200,7,CUB,Cuba,Female,80,7
2000,EMR,Eastern Mediterranean,169,71,129,BHR,Bahrain,Male,18,6.7
1990,EUR,Europe,22,16,1,POL,Poland,Both sexes,18,0.7
2013,SEAR,South_East Asia,0,0,0,IND,India,Both sexes,66,0
2013,AMR,Americas,306,63,23,ATG,Antigua and Barbuda,Both sexes,64,6.9
1990,AFR,Africa,285,104,18,TGO,Togo,Female,57,7.2
2013,AFR,Africa,44,39,1,CIV,Côte d'Ivoire,Female,54,1.5
2013,EUR,Europe,213,117,74,RUS,Russian Federation,Female,66,7.3
2012,WPR,Western Pacific,163,160,21,KOR,Republic of Korea,Female,75,6.1
2000,AMR,Americas,71,186,1,USA,United States of America,Male,20,4.6
1990,SEAR,South_East Asia,343,215,56,PRK,Democratic People's Republic of Korea,Male,66,10.9
2012,WPR,Western Pacific,194,67,339,VNM,Viet Nam,Both sexes,76,11
1990,AFR,Africa,1,42,7,CPV,Cabo Verde,Both sexes,66,0.9
1990,AMR,Americas,140,16,9,PRY,Paraguay,Female,22,9.8
2013,AFR,Africa,109,226,18,ETH,Ethiopia,Female,57,6.3
1990,AFR,Africa,297,122,167,COD,Democratic Republic of the Congo,Male,14,10.4
2013,WPR,Western Pacific,247,326,73,FSM,Micronesia (Federated States of),Both sexes,69,11.5
2013,EUR,Europe,43,2,0,MDA,Republic of Moldova,Both sexes,62,6.8
1990,EUR,Europe,194,205,32,MNE,Montenegro,Female,23,7.7
2013,AFR,Africa,171,315,71,LBR,Liberia,Male,52,10.1
2013,WPR,Western Pacific,120,221,11,WSM,Samoa,Female,77,6.3
1990,EUR,Europe,105,18,24,HUN,Hungary,Both sexes,17,2.6
2012,EMR,Eastern Mediterranean,0,0,0,IRQ,Iraq,Both sexes,70,0
2013,AFR,Africa,56,38,140,ZAF,South Africa,Both sexes,17,4.2
2012,AFR,Africa,0,5,0,MDG,Madagascar,Both sexes,55,0.1
2013,EUR,Europe,9,1,7,GRC,Greece,Both sexes,71,0.3
2000,AMR,Americas,283,131,127,KNA,Saint Kitts and Nevis,Female,19,9.6
2013,WPR,Western Pacific,157,25,51,BRN,Brunei Darussalam,Female,79,4.1
2013,SEAR,South_East Asia,25,3,2,BTN,Bhutan,Male,68,6.7
2013,EMR,Eastern Mediterranean,60,12,11,SSD,South Sudan,Male,48,1.5
2000,EMR,Eastern Mediterranean,196,293,116,JOR,Jordan,Female,73,11.4
2012,AFR,Africa,270,51,276,COM,Comoros,Male,53,10.6
2000,AMR,Americas,56,11,1,ARG,Argentina,Male,62,1.2
2000,EUR,Europe,0,0,0,AZE,Azerbaijan,Female,18,0
2013,WPR,Western Pacific,225,76,81,SGP,Singapore,Female,78,8.2
2000,AFR,Africa,284,157,112,MRT,Mauritania,Male,59,10
1990,EUR,Europe,16,104,0,POL,Poland,Male,15,2.2
2000,EMR,Eastern Mediterranean,8,13,0,SAU,Saudi Arabia,Female,19,1.7
1990,AMR,Americas,128,178,7,DMA,Dominica,Female,76,5.6
2012,AFR,Africa,90,2,2,STP,Sao Tome and Principe,Male,65,4.7
2013,EMR,Eastern Mediterranean,152,60,186,LBY,Libya,Male,18,7.2
2013,WPR,Western Pacific,185,100,280,AUS,Australia,Male,24,10.2
2013,WPR,Western Pacific,5,35,16,SLB,Solomon Islands,Male,16,1
2000,AMR,Americas,2,15,0,SUR,Suriname,Both sexes,74,0.3
2012,AMR,Americas,99,258,1,USA,United States of America,Both sexes,69,6.4
2012,AFR,Africa,106,27,86,BEN,Benin,Male,57,3.9
2000,EMR,Eastern Mediterranean,1,1,4,IRN,Iran (Islamic Republic of),Male,69,0.1
2000,EMR,Eastern Mediterranean,36,2,19,TUN,Tunisia,Male,63,1.3
2012,AFR,Africa,36,21,5,CMR,Cameroon,Both sexes,56,1.1
2000,EMR,Eastern Mediterranean,197,156,7,TUN,Tunisia,Both sexes,73,6.4
1990,EUR,Europe,51,3,20,MNE,Montenegro,Both sexes,76,1.3
2013,AMR,Americas,51,22,7,SUR,Suriname,Both sexes,77,1.4
2013,SEAR,South_East Asia,19,71,32,MMR,Myanmar,Both sexes,57,2.2
1990,AFR,Africa,6,41,9,COD,Democratic Republic of the Congo,Female,51,1
2000,AMR,Americas,45,9,0,BRA,Brazil,Female,21,8.3
2013,WPR,Western Pacific,206,237,45,SLB,Solomon Islands,Female,61,8.9
2000,AFR,Africa,16,135,5,MLI,Mali,Both sexes,41,2.8
1990,EUR,Europe,219,126,195,GRC,Greece,Female,23,10.4
2012,WPR,Western Pacific,36,6,1,FJI,Fiji,Female,19,5.7
1990,AMR,Americas,249,158,84,BHS,Bahamas,Male,69,8.7
2000,AMR,Americas,115,35,220,SUR,Suriname,Male,71,6.6
2000,EMR,Eastern Mediterranean,25,101,8,YEM,Yemen,Male,15,2.4
2000,WPR,Western Pacific,21,18,11,FSM,Micronesia (Federated States of),Male,57,0.9
2013,WPR,Western Pacific,333,100,3,MYS,Malaysia,Both sexes,19,7.7
2012,EUR,Europe,111,2,1,HRV,Croatia,Male,19,2
2000,EUR,Europe,6,0,0,BIH,Bosnia and Herzegovina,Male,18,0.1
